candidate,party,criminal_cases,education,age,total_assets,total_assets_rs,liabilities,liabilities_rs,2026_constituency,2026_district,is_winner,myneta_url,self_profession,spouse_profession,education_details,criminal_cases_details,election_expenditure,pan_given,serious_ipc_counts,movable_assets_rs,immovable_assets_rs
Ponnumani C,Naam Tamilar Katchi,0,Graduate Professional,26,"Rs 37,77,928 ~ 37 Lacs+",3777928,,1075000,SENTHAMANGALAM(ST),NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=394,Agriculture,Agriculture And Driving,Category: Graduate Professional B.E EEE from Erode Sengundhar Engineering College Year-2022,,,Y,0,2777928,1000000
Dilip C S,Tamilaga Vettri Kazhagam,0,Graduate,33,"Rs 7,81,99,424 ~ 7 Crore+",78199424,"Rs 2,07,76,616 ~ 2 Crore+",20776616,NAMAKKAL,NAMAKKAL,1,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=971,Transports and Business,Architect,"Category: Graduate B.Com. From PSG Arts College, Coimbatore, Bharathiar University -2014",,,Y,0,56799424,21400000
Aadithiyan A,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,0,Others,34,"Rs 32,01,500 ~ 32 Lacs+",3201500,"Rs 5,52,000 ~ 5 Lacs+",552000,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3697,Self Employed,Wage Employment,"Category: Others DME (Diploma Mechanical Engineering) From Salem Co-operative Sugar Mill Polytechnic, Mohanur, DOTE in 2013",,,Y,0,1701500,1500000
Abineshkumar T,IND,0,10th Pass,26,"Rs 6,44,000 ~ 6 Lacs+",644000,Rs 0 ~,0,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3703,NIL,NIL,Category: 10th Pass 11th Grade From Government Higher Secondary School Pelukurichi,,,Y,0,644000,0
Aravinth S,IND,0,Post Graduate,33,"Rs 12,60,000 ~ 12 Lacs+",1260000,,0,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3704,Medical Representative,Government Servant,"Category: Post Graduate M.Sc., B.Ed. From Kandasamy Kandar College Periyur University, Year- 2015",,,Y,0,1260000,0
Chandra P,IND,0,10th Pass,60,"Rs 64,74,050 ~ 64 Lacs+",6474050,"Rs 23,00,000 ~ 23 Lacs+",2300000,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3706,Agriculture Work,NIL,"Category: 10th Pass 10th Pass From Higher Secondary School Certificate, Higher Secondary school Mohanur Madras, Year-1982",,,Y,0,2824050,3650000
Gandhian Ramesh T,Ahimsa Socialist Party,0,Others,45,"Rs 1,07,76,627 ~ 1 Crore+",10776627,,839878,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=281,Yoga Trainer & Union level contractor,House Wife,"Category: Others Yoga Diploma Education From Bharathiyar University, Kovai, Year-2009",,,Y,0,2726627,8050000
Jayakumar R,IND,0,Graduate,54,"Rs 35,80,000 ~ 35 Lacs+",3580000,Rs 0 ~,0,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3713,Farmer,Housewife,"Category: Graduate B.Sc. From Erode Vasavi Arts & Science College Bharathiyar University, Year-1992",,,Y,0,3580000,0
Jayaraman M,IND,0,Others,47,"Rs 2,99,300 ~ 2 Lacs+",299300,"Rs 1,08,000 ~ 1 Lacs+",108000,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3714,Daily wages,Daily Wages,Category: Others ITI Government Erode Year 1996,,,Y,0,299300,0
Kanakaraj K,IND,0,Others,54,"Rs 8,21,80,000 ~ 8 Crore+",82180000,,1210000,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3705,Agriculture & Civil Engineer,Private School Teacher,"Category: Others Diploma Engingeering From Thangamuthu Polytechnic College, Periyakulam, Year- 1993",,,Y,0,3180000,79000000
Mahendran P,Anaithinthiya Anna Dravida Makkal Seyal katchi,0,Literate,45,"Rs 36,000 ~ 36 Thou+",36000,Rs 0 ~,0,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3701,Agricultural Wages,House Wife,Category: Literate Literate,,,Y,0,36000,0
Manikandan R,IND,0,Literate,36,"Rs 9,14,000 ~ 9 Lacs+",914000,Rs 0 ~,0,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3708,Painter,Housewife,Category: Literate Literate,,,Y,0,914000,0
Matheswaran C,Puthiya Tamilagam,0,5th Pass,46,"Rs 17,14,920 ~ 17 Lacs+",1714920,,156000,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3702,Driver,House Wife,Category: 5th Pass 7th Standard Pass- 1994,,,Y,0,964920,750000
Mohan M,IND,0,Graduate Professional,52,"Rs 2,42,74,000 ~ 2 Crore+",24274000,"Rs 3,00,000 ~ 3 Lacs+",300000,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3711,Agriculture,Agriculture,"Category: Graduate Professional B.L. From Central Law College, Salem Dr.Ambedkar Law University, Chennai, Year-2000 & B.Com. From Arignar Anna Arts College, Namakkal University of Madras, Year-1993",,,Y,0,11274000,13000000
Mohan P,IND,0,Graduate,65,"Rs 51,84,674 ~ 51 Lacs+",5184674,Rs 0 ~,0,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3710,Agriculture,Agriculture,"Category: Graduate B.Sc., (Discontinue) From Arignar Anna Arts & Science College, Namakkal, Year-1982",,,Y,0,584674,4600000
Mohan S,IND,0,12th Pass,63,"Rs 41,43,000 ~ 41 Lacs+",4143000,,0,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3709,Agriculture,Agriculture,"Category: 12th Pass PUC From Chikkaiya Naickar College Erode, Year-1977",,,Y,0,1943000,2200000
Muthusamy S,IND,0,8th Pass,50,"Rs 21,62,000 ~ 21 Lacs+",2162000,"Rs 7,26,000 ~ 7 Lacs+",726000,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=284,Bike Mechanic,Daily Wage Work,"Category: 8th Pass 8th Standard From Govt Higher Secondary School, Nallipalayam, Namakkal District, 1990",,,Y,0,1162000,1000000
Natarajan M,IND,0,8th Pass,59,"Rs 10,41,39,820 ~ 10 Crore+",104139820,"Rs 58,02,381 ~ 58 Lacs+",5802381,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=283,Transport Owner,"Agriculture, B.Sc","Category: 8th Pass SSLC Fail, March - 1982",,,Y,0,15939820,88200000
Netajikaviarasu V,IND,0,Graduate Professional,45,"Rs 17,00,000 ~ 17 Lacs+",1700000,,0,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3707,Advocate,House Wife,"Category: Graduate Professional B.A., B.L. From Salem Central Law College, Dr. Ambedkar Law University Chennai, Year-2010",,,Y,0,1700000,0
Palanisamy M P,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,0,Others,58,"Rs 26,93,000 ~ 26 Lacs+",2693000,Rs 0 ~,0,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3700,Real Estate,House Wife,Category: Others Diploma Agri From T.A.T.T in Coimbatore in 1990,,,Y,0,1593000,1100000
Praveenkumar K,Naam Tamilar Katchi,1,Post Graduate,39,"Rs 1,29,45,500 ~ 1 Crore+",12945500,"Rs 22,00,000 ~ 22 Lacs+",2200000,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=280,Agriculture and Insurance Agent,E-Service Center,"Category: Post Graduate M.Sc. From University Of Portsmouth UK, Year-2022. B.E. From Muthayammal College Of Engineering Rasipuram Year 2008",,,Y,0,5895500,7050000
Ramasamy P,BSP,0,12th Pass,61,"Rs 1,43,327 ~ 1 Lacs+",143327,,339000,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=972,Agriculture Wages,House Wife,"Category: 12th Pass PUC Pass From Higher Secondary School, Year-1982",,,Y,0,93327,50000
Ramesh A,IND,0,Others,52,"Rs 1,33,89,866 ~ 1 Crore+",13389866,Rs 0 ~,0,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3712,Insurance Surveyor,Self Employed,"Category: Others DME From SCSM Polytechnic College, Mohanur, Year-1994",,,Y,0,6889866,6500000
Rani P,DMK,0,Post Graduate,57,"Rs 1,59,73,251 ~ 1 Crore+",15973251,"Rs 15,21,370 ~ 15 Lacs+",1521370,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1122,Real Estate,N/A,"Category: Post Graduate MA From Annamalai University, Chidambaram in 2003",,,Y,0,9462894,6510357
Sridevi Mohan P S,AIADMK,0,Graduate,53,"Rs 79,78,79,097 ~ 79 Crore+",797879097,,239144934,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1201,"Hotel, Poultry Farm, Poultry Medicine, Eggs, Poultry Feed - Businesses - Partner","Hotel, Poultry Medicine, Eggs, Poultry Feed - Businesses - Partner",Category: Graduate B.Sc. in (Agriculture) from College of Agriculture-Pune Mahathma Phule Agriculture University in 1993,,,Y,0,399034197,398844900
Stalin R,IND,0,Post Graduate,37,"Rs 3,02,287 ~ 3 Lacs+",302287,"Rs 6,63,000 ~ 6 Lacs+",663000,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3715,Onion Business,House Wife,"Category: Post Graduate M.Com. From Adaikalamadha Arts & Science College, Thanjavur - 2012, Bharathidasan University",,,Y,0,302287,0
Sureshkannan P,Ganasangam Party of India,0,Literate,52,"Rs 18,059 ~ 18 Thou+",18059,Rs 0 ~,0,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3698,Daily Wages,Daily Wages,Category: Literate Literate,,,Y,0,18059,0
Thiyagarajan R,Samaniya Makkal Nala Katchi,0,10th Pass,32,"Rs 20,085 ~ 20 Thou+",20085,,0,NAMAKKAL,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3699,Tution Centre Management,NA,"Category: 10th Pass 12th (Incompleted) From Government Boys High Sec. School, Mohanur in 2007",,,Y,0,20085,0
Sekar S,AIADMK,0,Others,55,"Rs 2,62,92,836 ~ 2 Crore+",26292836,"Rs 32,60,344 ~ 32 Lacs+",3260344,PARAMATHIVELUR,NAMAKKAL,1,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1130,"Politics , Civil Engineering , Agriculture",Graduate Teacher,"Category: Others DCE, Govt Higher Secondary School Pandamangalam -March-1987 SCSM polytechnic Collage Mohanur May-1990",,,Y,0,10547836,15745000
Aravind M,Naam Tamilar Katchi,0,12th Pass,33,"Rs 17,62,02,174 ~ 17 Crore+",176202174,"Rs 1,17,65,607 ~ 1 Crore+",11765607,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=251,Farming & Business,Business,"Category: 12th Pass 12th STD, SKV Higher Secondary School Kandhampalyam year 2010 , 10th SKV Higher Secondary School Kandhampalyam year 2010",,,Y,0,26202174,150000000
Bakkiam P,Anaithinthiya Anna Dravida Makkal Seyal katchi,0,Illiterate,73,"Rs 8,93,000 ~ 8 Lacs+",893000,Rs 0 ~,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1613,House wife,Agricultural Wages,Category: Illiterate None (Can Speak Tamil).,,,Y,0,893000,0
Balaji R,IND,0,Others,45,"Rs 1,52,200 ~ 1 Lacs+",152200,,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1628,Photographer,NIL,"Category: Others PGP ITI College Vettampady May 1997, Kandasamy Gounder Matriculation School Vellore March 1995",,,Y,0,152200,0
Gopalan G,IND,0,5th Pass,56,"Rs 43,000 ~ 43 Thou+",43000,Rs 0 ~,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1620,Wage Employment,NIL,Category: 5th Pass 5th Grade,,,Y,0,43000,0
Kandasamy S,IND,0,10th Pass,34,"Rs 1,42,000 ~ 1 Lacs+",142000,Rs 0 ~,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1618,Farming Wage Work,Wage Work,Category: 10th Pass 10th Grade,,,Y,0,142000,0
Karthik R,IND,0,12th Pass,32,"Rs 30,000 ~ 30 Thou+",30000,,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1619,Wages,NIL,Category: 12th Pass 12th STD Government Sec. School Paramathi,,,Y,0,30000,0
Latha A,IND,0,5th Pass,40,"Rs 44,550 ~ 44 Thou+",44550,Rs 0 ~,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1637,NIL,Coolie,Category: 5th Pass 7th Grade,,,Y,0,44550,0
Manojkumar M,IND,0,Post Graduate,26,"Rs 1,75,340 ~ 1 Lacs+",175340,Rs 0 ~,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1630,Driver,NIL,Category: Post Graduate MSc Selvam Arts & Science College Namakkal May 2021 BSc Selvam Arts & Science College Namakka May 2019 12th Government Higher Secondary School Kandhampalayam March 2016 10th STD Sri Ramamurthy High School Vasanthapuram March 2014,,,Y,0,25340,150000
Moorthi M,IND,0,Illiterate,61,"Rs 6,58,196 ~ 6 Lacs+",658196,,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1632,Agriculture Wages,Agriculture Wages,Category: Illiterate No,,,Y,0,658196,0
Moorthiy K S,DMK,0,Graduate,64,"Rs 11,18,24,724 ~ 11 Crore+",111824724,"Rs 70,86,172 ~ 70 Lacs+",7086172,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1112,Agriculture and Industry,Agriculture and Industry,"Category: Graduate BSC in Chemistry from Bishop Heber College, Trichy, University of Madras in 1983",,,Y,0,81267682,30557042
Murthi,IND,0,Illiterate,49,"Rs 22,044 ~ 22 Thou+",22044,Rs 0 ~,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1631,Agricultural Wages,Wages,Category: Illiterate No Education.,,,Y,0,22044,0
Nandakumar A,Tamilaga Vettri Kazhagam,0,Post Graduate,51,"Rs 30,44,53,630 ~ 30 Crore+",304453630,,4048956,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1615,"Politics, Agriculture, Accommodation and Cement Pipe Manufacturing, Green Genesis Foundation Managing Trustee","Accommodation, Cement Pipe Manufacturing & Hotel","Category: Post Graduate MBA (HR) 2021 Alagappa University Distance Education., PG DPMIR (2021) Alagappa University (Discontinue) Not Completed..",,,Y,0,51221630,253232000
Palanisamy S,IND,0,5th Pass,42,"Rs 1,42,000 ~ 1 Lacs+",142000,Rs 0 ~,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1627,Wage Work,NIL,Category: 5th Pass 7th Grade,,,Y,0,142000,0
Parameshwari S,IND,0,Others,39,"Rs 35,60,381 ~ 35 Lacs+",3560381,"Rs 10,30,000 ~ 10 Lacs+",1030000,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1626,Astrologer,Driver,Category: Others ITI Government industrial Training Institute Namakkal 2022,,,Y,0,2560381,1000000
Prathap K,IND,0,10th Pass,32,"Rs 4,13,159 ~ 4 Lacs+",413159,,5000,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1629,Agriculture Wages,Agriculture Wages,Category: 10th Pass 10th Pass Year 2014-2015,,,Y,0,413159,0
Raja R,IND,0,12th Pass,46,"Rs 1,37,01,530 ~ 1 Crore+",13701530,"Rs 54,50,000 ~ 54 Lacs+",5450000,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1636,Transports and Workshop,Housewife,Category: 12th Pass 12th Government Higher Secondary School Velagoundampatti Namakkal Passed Out Year 1998,,,Y,0,8851530,4850000
Raman V,BSP,0,5th Pass,52,"Rs 2,86,927 ~ 2 Lacs+",286927,Rs 0 ~,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1612,Driver and Agriculture,Housewife,Category: 5th Pass 6th grade,,,Y,0,286927,0
Ramasamy N,IND,0,Illiterate,59,"Rs 4,50,000 ~ 4 Lacs+",450000,,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1617,Fruit Business,Fruit Business,Category: Illiterate,,,Y,0,150000,300000
Ramesh P,IND,0,5th Pass,43,"Rs 21,000 ~ 21 Thou+",21000,Rs 0 ~,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1634,Coolie,NIL,Category: 5th Pass 5th Standard,,,Y,0,21000,0
Ramesh R,IND,0,12th Pass,54,"Rs 2,45,000 ~ 2 Lacs+",245000,Rs 0 ~,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1635,"Agriculture, Coolie",NIL,Category: 12th Pass 12th Standard,,,Y,0,245000,0
Ranjith K,IND,0,Others,27,"Rs 23,000 ~ 23 Thou+",23000,,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1633,Coolie,NIL,"Category: Others Vocational Education from St. Theresas Private Industrial Training Institute (ITI), Salem",,,Y,0,23000,0
Sekar C,IND,0,5th Pass,46,"Rs 2,42,000 ~ 2 Lacs+",242000,Rs 0 ~,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1622,Coolie,NIL,Category: 5th Pass 5th Standard,,,Y,0,242000,0
Sekar V,IND,0,Literate,52,"Rs 20,000 ~ 20 Thou+",20000,,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1624,Coolie,NIL,"Category: Literate 3rd Standard from Government Secondary School, Kolaram",,,Y,0,20000,0
Selvarasu S,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,0,Literate,50,"Rs 15,14,000 ~ 15 Lacs+",1514000,"Rs 2,50,000 ~ 2 Lacs+",250000,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=973,Daily wages,Daily wages,Category: Literate Read & Write Only,,,Y,0,371000,1143000
Shailaja,Tamizhaga Vaazhvurimai Katchi,0,8th Pass,42,"Rs 93,74,552 ~ 93 Lacs+",9374552,"Rs 46,42,000 ~ 46 Lacs+",4642000,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1614,Agriculture,Mestri,Category: 8th Pass 9th A U N school Cholasiramani (1999-2000),,,Y,0,4174552,5200000
Sudharsan K,IND,0,Graduate,26,"Rs 5,95,000 ~ 5 Lacs+",595000,,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1621,Customer Service Centre,NIL,"Category: Graduate B.Sc Computer Science from KSR Arts and Science, Tiruchengode",,,Y,0,595000,0
Suresh R,IND,0,5th Pass,37,"Rs 42,000 ~ 42 Thou+",42000,Rs 0 ~,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1623,Labour,NIL,Category: 5th Pass 5th Standard,,,Y,0,42000,0
Thangarasu M,IND,0,8th Pass,35,"Rs 30,000 ~ 30 Thou+",30000,Rs 0 ~,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1625,Labour,Nil,"Category: 8th Pass 9th Govt sec School, Kansamapalayam",,,Y,0,30000,0
Vijay Suryabhalaaji K R,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,0,Graduate,33,"Rs 70,41,170 ~ 70 Lacs+",7041170,,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1616,Own Business (Re Green Apple Finance and Re Green Apple Enterprises,Housewife,"Category: Graduate B.com., Hindustan College of Arts and Science Coimbatore 2012",,,Y,0,3041170,4000000
Vijayakumar A,IND,0,5th Pass,43,"Rs 20,000 ~ 20 Thou+",20000,Rs 0 ~,0,PARAMATHIVELUR,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1638,Labour,Nil,"Category: 5th Pass 5 Govt Elementary School, Kabilarmalai",,,Y,0,20000,0
Arunraj K G,Tamilaga Vettri Kazhagam,0,Graduate Professional,46,"Rs 12,77,14,655 ~ 12 Crore+",127714655,,14096571,TIRUCHENGODU,NAMAKKAL,1,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=975,"Doctor, Ex-IRS, Tax Consultant, Politican","Doctor ,Asst Professor at Kilpauk Medical College","Category: Graduate Professional Bachelor of Medicine and Bachelor of Surgery(MBBS) , The Tamil Nadu Dr.M.G.R Medicial University, 2002",,,Y,0,75891655,51823000
Arjunan L K,IND,0,10th Pass,49,"Rs 22,90,000 ~ 22 Lacs+",2290000,Rs 0 ~,0,TIRUCHENGODU,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2109,Agriculture,House Wife,"Category: 10th Pass 10th Std, From Govt Higher Secondary School Lakkapuram Erode",,,Y,0,2290000,0
Arulprakasam S,IND,0,10th Pass,68,"Rs 20,25,000 ~ 20 Lacs+",2025000,Rs 0 ~,0,TIRUCHENGODU,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2108,Agriculture,Agriculture,Category: 10th Pass 10th Std,,,Y,0,2025000,0
Balaji Chezhian P,IND,0,Graduate Professional,42,"Rs 10,000 ~ 10 Thou+",10000,Rs 0 ~,0,TIRUCHENGODU,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2116,Private,Private,"Category: Graduate Professional B.E (EEE), From Anna University In 2010",,,Y,0,10000,0
Chinnathambi K,Republican Party of India (Athawale),0,Literate,66,"Rs 23,51,000 ~ 23 Lacs+",2351000,Rs 0 ~,0,TIRUCHENGODU,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2104,Construction Work (Daily Wage),House Wife,Category: Literate 3rd From Panchayat Union Primary School Mamudi Agraharam,,,Y,0,351000,2000000
Deepakrajan V,IND,0,Graduate Professional,27,"Rs 18,27,031 ~ 18 Lacs+",1827031,,0,TIRUCHENGODU,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2114,Business,NIL,"Category: Graduate Professional Bachelore Of Technology Textile Technology From AC Tech, Anna University In 2020",,,Y,0,1827031,0
Dhanapal Subramaniyam,Anaithinthiya Anna Dravida Makkal Seyal katchi,0,Post Graduate,39,"Rs 10,90,618 ~ 10 Lacs+",1090618,Rs 0 ~,0,TIRUCHENGODU,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2105,Artificial Intelligence (AI),House Wife,"Category: Post Graduate MCA From Sri Vasavi College (S/W), Erode Bharathiar University Coimbatore In 2010",,,Y,0,751618,339000
Dhinesh Karikalan,IND,0,Graduate Professional,26,"Rs 57,88,853 ~ 57 Lacs+",5788853,Rs 0 ~,0,TIRUCHENGODU,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2113,Self Employed,Unmarried,"Category: Graduate Professional B E Aeronautical Engineering, From Nehru Institute Of Engineering And Technology, Year - 2016-2020",,,Y,0,1788853,4000000
Eswaran E R,DMK,0,Graduate Professional,64,"Rs 47,91,40,253 ~ 47 Crore+",479140253,,28570343,TIRUCHENGODU,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=186,Business (Export of Readymade Garments),Business (Construction),"Category: Graduate Professional Bachelor of Engineering (Mechanical) from Government College of Engineering Salem, University of Madras in 1983",,,Y,0,153040253,326100000
Eswaran M,IND,0,8th Pass,55,"Rs 2,81,500 ~ 2 Lacs+",281500,Rs 0 ~,0,TIRUCHENGODU,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2110,Wage Work,Wage Employment,Category: 8th Pass 8th Standard,,,Y,0,281500,0
Maheshkumar N,IND,0,12th Pass,33,Rs 15 ~,15,"Rs 8,644 ~ 8 Thou+",8644,TIRUCHENGODU,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2117,"Real Estate, Politician",Nil,"Category: 12th Pass HSC From The Wisdom Matriculation Higher Secondary School, Iduvai, Tirupur, In 2012",,,Y,0,15,0
Munusamy A T,Samaniya Makkal Nala Katchi,0,5th Pass,65,"Rs 90,11,556 ~ 90 Lacs+",9011556,,2000000,TIRUCHENGODU,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2107,Social Servies,House Wife,"Category: 5th Pass 5th Std. From Govt Primary School Thulasampatti Village, Omalur Taluk In 1982",,,Y,0,911556,8100000
Palanisamy K,IND,0,10th Pass,63,"Rs 73,01,240 ~ 73 Lacs+",7301240,Rs 0 ~,0,TIRUCHENGODU,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2115,Tamil Nadu Electricity Board Employee Retirement.,Teaching Post In Tamil Nadu Govt Service,"Category: 10th Pass Secondary School Leaving Certificate In 1978 From Government High School, Mallasamudram, Tiruchengode Taluk, Namakkal District.",,,Y,0,2301240,5000000
Rajakumar P,IND,0,10th Pass,47,"Rs 20,17,000 ~ 20 Lacs+",2017000,"Rs 7,07,000 ~ 7 Lacs+",707000,TIRUCHENGODU,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2118,Wage Work,Caregiver & Assistant,Category: 10th Pass 10th Std In 1996,,,Y,0,1731000,286000
Ramesh S,IND,0,12th Pass,49,"Rs 5,92,97,617 ~ 5 Crore+",59297617,,15100000,TIRUCHENGODU,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2119,Business - Bus Operator And Contractor,"Professor, Head Of The Department, Computer Science, Bharatiya Eng College, Deviayakurchi, Thalaivasal","Category: 12th Pass Higher Secondary From Govt Boys Higher Secondary School, Attur, Salem Dist.",,,Y,0,24797617,34500000
Revanth S N,IND,0,Graduate Professional,27,"Rs 70,000 ~ 70 Thou+",70000,Rs 0 ~,0,TIRUCHENGODU,NAMAKKAL,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2120,Private Employment,Nil,"Category: Graduate Professional B.E. (Aeronatics) From Park College Of Engineering, Kaniyur, Anna University In Year - 2019",,,Y,0,70000,0
